Headliner,Count,Total_Gross,Tickets_Sold,Avg_Ticket_Price
Beyoncé,9,407600112.95,1596165,262.07
Coldplay,16,377638169.82,2805686,129.2
"Kendrick Lamar, SZA",35,351540815.49,1712191,204.12
Shakira,44,342347660.87,2675489,142.33
The Weeknd,25,306255589.54,2005301,150.34
Chris Brown,37,286757181.75,1930362,143.38
Lady Gaga,24,286544086.26,1376853,216.57
Post Malone,35,197825039.05,1370069,142.34
Stray Kids,24,185384651.8,1265533,149.34
Imagine Dragons,33,185330530.59,1783699,102.75
Dua Lipa,36,181362976.66,1590842,121.09
Linkin Park,49,160555235.67,1363351,115.85
Metallica,19,137107458.47,1103697,123.47
Eagles,26,132995245.27,457453,291.28
Rauw Alejandro,47,104755618.48,780301,147.94
Tate McRae,69,102624814.88,1020809,99.47
My Chemical Romance,10,88552117.05,448045,200.09
Bad Bunny,8,85304493.34,517736,164.76
Billie Eilish,27,84041726.92,587032,146.78
Jonas Brothers,54,80589517.45,808936,100.86
Dead &amp; Company,6,75145124.0,294458,255.13
NBA YoungBoy,41,73624546.05,587736,122.93
Guns N' Roses,18,72102661.29,652326,109.91
Backstreet Boys,24,65138687.18,399831,162.95
Maroon 5,29,60843131.43,498558,127.68
Rüfüs Du Sol,35,59653177.33,692168,88.69
Bruce Springsteen &amp; The E Street Band,6,59625938.66,429948,139.04
Drake,18,58276863.11,371408,158.81
Mumford &amp; Sons,44,58088876.03,568296,98.38
Oasis,7,57167465.44,472627,121.26
Chris Stapleton,27,51945734.76,426113,126.5
Trans-Siberian Orchestra,58,50274189.97,642968,78.56
System Of A Down,3,45470377.28,302266,150.62
Iron Maiden,13,45167865.84,435068,105.47
Ghost,43,44084817.8,462088,95.97
Deftones,36,43997247.24,473351,92.14
Tyler Childers,28,43390286.93,466163,93.72
Chayanne,24,42908531.72,340414,128.68
Phish,29,42553269.1,428464,93.24
Dave Matthews Band,31,42503802.01,445135,99.92
Junior H,23,42326465.8,356825,116.54
Hozier,24,42325770.64,537171,76.6
Mary J. Blige,33,40991567.11,314340,127.76
Pierce The Veil,59,39491477.78,673324,58.52
Disturbed,41,38905039.71,426861,91.25
Katy Perry,26,38029363.6,313997,120.81
$uicideboy$,45,37331236.09,585272,64.95
Nine Inch Nails,22,35910874.28,310246,112.32
Matt Rife,35,35738577.64,446994,79.65
j-hope,7,34233600.34,178631,186.59
Paul McCartney,7,34071652.83,147837,251.07
Travis Scott,5,32441933.52,245393,138.59
Rod Stewart,28,31572285.91,284249,114.14
Stevie Nicks,12,30638807.4,155709,196.96
Sabrina Carpenter,20,30106527.23,307401,98.22
The Who,15,29324973.76,202191,145.6
Jin,6,28931970.73,142790,202.12
Teddy Swims,35,28749684.69,293098,101.83
Luke Bryan,29,28746288.16,451393,69.59
Lainey Wilson,26,28688854.45,319095,92.77
Creed,27,28536391.25,369469,79.91
Justin Timberlake,16,26954874.71,202468,135.33
Gracie Abrams,23,26729889.39,300532,81.47
Twenty One Pilots,16,25199416.41,298263,87.26
